Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-34.04,-0.01,-34.05,-20.63,18.82,34.80,18.82,0.75
PB1,pose002,0.00,-32.35,-0.01,-32.36,-20.26,18.82,35.83,18.82,3.47
PB1,pose003,0.00,-30.32,-0.01,-30.34,-19.62,41.21,58.54,41.21,28.20
PB1,pose004,0.00,-31.68,-0.01,-31.69,-20.10,17.01,34.25,17.01,2.56
PB1,pose005,0.00,-31.09,-0.01,-31.10,-19.91,29.21,46.67,29.21,15.57
PB1,pose006,0.00,-31.38,-0.01,-31.39,-19.80,24.76,42.57,24.76,11.17
PB1,pose007,0.00,-30.70,-0.01,-30.72,-19.89,32.35,48.75,32.35,18.03
PB1,pose008,0.00,-33.09,-0.01,-33.10,-20.41,14.01,30.09,14.01,-3.02
PB1,pose009,0.00,-31.24,-0.01,-31.26,-19.45,17.13,33.98,17.13,2.73
PB1,pose010,0.00,-32.70,-0.01,-32.71,-19.49,15.34,31.29,15.34,-1.42
PB3,pose001,0.00,-34.04,-0.01,-34.05,-3.97,24.74,20.76,24.74,-13.29
PB3,pose002,0.00,-32.35,-0.01,-32.36,-4.06,21.09,17.03,21.09,-15.33
PB3,pose003,0.00,-30.32,-0.01,-30.34,-4.24,28.55,24.31,28.55,-6.03
PB3,pose004,0.00,-31.68,-0.01,-31.69,-4.08,20.00,15.92,20.00,-15.78
PB3,pose005,0.00,-31.09,-0.01,-31.10,-4.22,26.52,22.31,26.52,-8.80
PB3,pose006,0.00,-31.38,-0.01,-31.39,-4.19,23.80,19.61,23.80,-11.78
PB3,pose007,0.00,-30.70,-0.01,-30.72,-4.15,29.45,25.30,29.45,-5.41
PB3,pose008,0.00,-33.09,-0.01,-33.10,-4.03,18.36,14.33,18.36,-18.77
PB3,pose009,0.00,-31.24,-0.01,-31.26,-4.07,22.26,18.20,22.26,-13.06
PB3,pose010,0.00,-32.70,-0.01,-32.71,-3.91,19.10,15.19,19.10,-17.52
PB4,pose001,0.00,-34.04,-0.01,-34.05,-4.06,19.82,15.77,19.82,-18.29
PB4,pose002,0.00,-32.35,-0.01,-32.36,-4.17,20.69,16.52,20.69,-15.84
PB4,pose003,0.00,-30.32,-0.01,-30.34,-4.41,34.22,29.81,34.22,-0.52
PB4,pose004,0.00,-31.68,-0.01,-31.69,-4.20,18.53,14.32,18.53,-17.37
PB4,pose005,0.00,-31.09,-0.01,-31.10,-4.38,27.66,23.28,27.66,-7.82
PB4,pose006,0.00,-31.38,-0.01,-31.39,-4.34,25.97,21.63,25.97,-9.76
PB4,pose007,0.00,-30.70,-0.01,-30.72,-4.29,29.85,25.56,29.85,-5.16
PB4,pose008,0.00,-33.09,-0.01,-33.10,-4.13,17.10,12.98,17.10,-20.13
PB4,pose009,0.00,-31.24,-0.01,-31.26,-4.18,19.57,15.39,19.57,-15.86
PB4,pose010,0.00,-32.70,-0.01,-32.71,-3.97,18.00,14.03,18.00,-18.68
GB1,pose001,0.00,-34.04,-0.01,-34.05,-4.28,5.63,1.35,5.63,-32.70
GB1,pose002,0.00,-32.35,-0.01,-32.36,-4.22,4.52,0.30,4.52,-32.06
GB1,pose003,0.00,-30.32,-0.01,-30.34,-3.91,6.99,3.08,6.99,-27.26
GB1,pose004,0.00,-31.68,-0.01,-31.69,-3.99,4.70,0.70,4.70,-30.99
GB1,pose005,0.00,-31.09,-0.01,-31.10,-3.90,5.32,1.42,5.32,-29.68
GB1,pose006,0.00,-31.38,-0.01,-31.39,-4.01,4.98,0.97,4.98,-30.42
GB1,pose007,0.00,-30.70,-0.01,-30.72,-3.87,5.88,2.01,5.88,-28.71
GB1,pose008,0.00,-33.09,-0.01,-33.10,-4.02,4.89,0.87,4.89,-32.23
GB1,pose009,0.00,-31.24,-0.01,-31.26,-3.89,4.33,0.44,4.33,-30.82
GB1,pose010,0.00,-32.70,-0.01,-32.71,-3.80,4.95,1.15,4.95,-31.56
GB2,pose001,0.00,-34.04,-0.01,-34.05,-2.97,7.32,4.35,7.32,-29.70
GB2,pose002,0.00,-32.35,-0.01,-32.36,-2.93,5.89,2.96,5.89,-29.40
GB2,pose003,0.00,-30.32,-0.01,-30.34,-2.72,9.12,6.40,9.12,-23.94
GB2,pose004,0.00,-31.68,-0.01,-31.69,-2.77,6.14,3.37,6.14,-28.33
GB2,pose005,0.00,-31.09,-0.01,-31.10,-2.71,6.85,4.14,6.85,-26.96
GB2,pose006,0.00,-31.38,-0.01,-31.39,-2.79,6.55,3.76,6.55,-27.63
GB2,pose007,0.00,-30.70,-0.01,-30.72,-2.69,7.53,4.85,7.53,-25.87
GB2,pose008,0.00,-33.09,-0.01,-33.10,-2.79,6.33,3.54,6.33,-29.57
GB2,pose009,0.00,-31.24,-0.01,-31.26,-2.70,5.77,3.07,5.77,-28.19
GB2,pose010,0.00,-32.70,-0.01,-32.71,-2.64,6.76,4.13,6.76,-28.59
GB5,pose001,0.00,-34.04,-0.01,-34.05,-2.97,7.33,4.36,7.33,-29.69
GB5,pose002,0.00,-32.35,-0.01,-32.36,-2.93,5.73,2.80,5.73,-29.56
GB5,pose003,0.00,-30.32,-0.01,-30.34,-2.72,8.92,6.21,8.92,-24.13
GB5,pose004,0.00,-31.68,-0.01,-31.69,-2.77,6.06,3.28,6.06,-28.41
GB5,pose005,0.00,-31.09,-0.01,-31.10,-2.71,6.49,3.79,6.49,-27.32
GB5,pose006,0.00,-31.38,-0.01,-31.39,-2.79,6.14,3.35,6.14,-28.04
GB5,pose007,0.00,-30.70,-0.01,-30.72,-2.69,7.10,4.41,7.10,-26.31
GB5,pose008,0.00,-33.09,-0.01,-33.10,-2.79,6.11,3.33,6.11,-29.78
GB5,pose009,0.00,-31.24,-0.01,-31.26,-2.70,5.91,3.21,5.91,-28.05
GB5,pose010,0.00,-32.70,-0.01,-32.71,-2.64,7.07,4.43,7.07,-28.28
GB6,pose001,0.00,-34.04,-0.01,-34.05,-2.82,19.60,16.78,19.60,-17.27
GB6,pose002,0.00,-32.35,-0.01,-32.36,-2.89,19.35,16.45,19.35,-15.91
GB6,pose003,0.00,-30.32,-0.01,-30.34,-3.06,30.35,27.28,30.34,-3.05
GB6,pose004,0.00,-31.68,-0.01,-31.69,-2.92,15.98,13.07,15.98,-18.63
GB6,pose005,0.00,-31.09,-0.01,-31.10,-3.04,24.21,21.16,24.21,-9.94
GB6,pose006,0.00,-31.38,-0.01,-31.39,-3.01,20.43,17.42,20.43,-13.97
GB6,pose007,0.00,-30.70,-0.01,-30.72,-2.98,25.63,22.65,25.63,-8.07
GB6,pose008,0.00,-33.09,-0.01,-33.10,-2.87,13.94,11.08,13.94,-22.03
GB6,pose009,0.00,-31.24,-0.01,-31.26,-2.90,13.34,10.44,13.34,-20.82
GB6,pose010,0.00,-32.70,-0.01,-32.71,-2.76,13.90,11.14,13.90,-21.57
GB7,pose001,0.00,-34.04,-0.01,-34.05,-2.97,7.63,4.66,7.63,-29.39
GB7,pose002,0.00,-32.35,-0.01,-32.36,-2.93,4.55,1.63,4.55,-30.74
GB7,pose003,0.00,-30.32,-0.01,-30.34,-2.72,7.53,4.82,7.53,-25.52
GB7,pose004,0.00,-31.68,-0.01,-31.69,-2.77,5.27,2.50,5.27,-29.19
GB7,pose005,0.00,-31.09,-0.01,-31.10,-2.71,6.76,4.05,6.76,-27.05
GB7,pose006,0.00,-31.38,-0.01,-31.39,-2.79,6.14,3.35,6.14,-28.04
GB7,pose007,0.00,-30.70,-0.01,-30.72,-2.69,6.57,3.88,6.57,-26.83
GB7,pose008,0.00,-33.09,-0.01,-33.10,-2.79,5.47,2.68,5.47,-30.42
GB7,pose009,0.00,-31.24,-0.01,-31.26,-2.70,5.73,3.03,5.73,-28.23
GB7,pose010,0.00,-32.70,-0.01,-32.71,-2.64,7.07,4.44,7.07,-28.27
GB8,pose001,0.00,-34.04,-0.01,-34.05,-2.97,10.38,7.41,10.38,-26.64
GB8,pose002,0.00,-32.35,-0.01,-32.36,-2.93,6.67,3.74,6.67,-28.63
GB8,pose003,0.00,-30.32,-0.01,-30.34,-2.72,11.64,8.92,11.64,-21.41
GB8,pose004,0.00,-31.68,-0.01,-31.69,-2.77,7.21,4.44,7.21,-27.26
GB8,pose005,0.00,-31.09,-0.01,-31.10,-2.71,11.48,8.77,11.48,-22.33
GB8,pose006,0.00,-31.38,-0.01,-31.39,-2.79,10.40,7.61,10.40,-23.78
GB8,pose007,0.00,-30.70,-0.01,-30.72,-2.69,12.24,9.55,12.24,-21.16
GB8,pose008,0.00,-33.09,-0.01,-33.10,-2.79,8.95,6.16,8.95,-26.95
GB8,pose009,0.00,-31.24,-0.01,-31.26,-2.70,7.15,4.44,7.15,-26.81
GB8,pose010,0.00,-32.70,-0.01,-32.71,-2.64,8.25,5.61,8.25,-27.10